province,ward,code,type,lat,lon,population,area_km2,nearest_highway_type,distance_to_road_km,snapped_lat,snapped_lon
Đồng Nai,phường Tam Phước,26374.0,phường,10.8813,106.958,48313.0,45.1,residential,0.0764,10.880718,106.958368
Đồng Nai,phường Long Khánh,26080.0,phường,10.9217,107.288,7707.0,21.3,residential,0.0185,10.9215956,107.2881299
Đồng Nai,phường Tam Hiệp,26017.0,phường,10.9538,106.859,139441.0,10.8,residential,0.03,10.9537399,106.8592635
Đồng Nai,phường Phước Tân,26377.0,phường,10.9137,106.946,64181.0,42.8,residential,0.0935,10.9136357,106.9468402
Đồng Nai,phường Trấn Biên,26041.0,phường,10.938,106.835,19706.0,31.0,residential,0.0228,10.9382,106.8349529
Đồng Nai,phường Hố Nai,26005.0,phường,10.9755,106.927,78902.0,22.9,residential,0.0424,10.9753304,106.9266575
Đồng Nai,phường Long Hưng,26380.0,phường,10.881,106.867,74184.0,32.4,residential,0.1601,10.8821303,106.8678965
Đồng Nai,xã Lộc Quang,25292.0,xã,11.8443,106.716,26314.0,105.0,residential,0.3374,11.8473394,106.716
Đồng Nai,xã Lộc Tấn,25279.0,xã,11.8815,106.519,23697.0,183.36,residential,0.7616,11.8747632,106.5176999
Đồng Nai,phường Xuân Lập,26104.0,phường,10.9139,107.192,18947.0,29.2,tertiary,0.045,10.9138922,107.1915945
Đồng Nai,xã Xuân Quế,26332.0,xã,10.8433,107.139,21189.0,92.9,motorway,0.2895,10.8407508,107.1384501
Đồng Nai,phường Bảo Vinh,26098.0,phường,10.9683,107.278,36989.0,50.9,residential,0.0038,10.968302,107.2780341
Đồng Nai,xã Lộc Hưng,25303.0,xã,11.7867,106.664,266.0,99.0,tertiary,0.0296,11.7868246,106.6642358
Đồng Nai,xã Lộc Thành,25294.0,xã,11.7661,106.494,15338.0,206.1,residential,0.1661,11.766256,106.4925116
Đồng Nai,xã Lộc Ninh,25270.0,xã,11.8389,106.635,32213.0,67.4,residential,0.0602,11.8384386,106.6352845
Đồng Nai,phường Bình Lộc,26089.0,phường,10.9901,107.223,36195.0,77.2,tertiary,0.0756,10.9903207,107.2236443
Đồng Nai,phường Long Bình,26020.0,phường,10.9318,106.903,26378.0,40.2,residential,0.5849,10.9352112,106.8989843
