province,ward,code,type,lat,lon,population,area_km2
Hồ Chí Minh,phường Vườn Lài,27190,phường,10.7644,106.675,104076,1.28
Hồ Chí Minh,phường Diên Hồng,27169,phường,10.7691,106.662,75633,1.86
Hồ Chí Minh,phường Bến Thành,26743,phường,10.7713,106.694,71785,1.85
Hồ Chí Minh,phường An Khánh,27094,phường,10.7882,106.732,76967,15.33
Hồ Chí Minh,phường Long Phước,26857,phường,10.8068,106.85,53092,34.29
Hồ Chí Minh,phường Cát Lái,27112,phường,10.7634,106.773,68654,19.65
Hồ Chí Minh,phường Long Trường,26860,phường,10.7934,106.812,73669,24.49
Hồ Chí Minh,phường Sài Gòn,26740,phường,10.7805,106.704,47022,3.04
Hồ Chí Minh,phường Tân Định,26737,phường,10.7917,106.693,48524,1.23
Hồ Chí Minh,phường Xuân Hòa,27139,phường,10.7818,106.69,48464,2.22
Hồ Chí Minh,phường Tân Thới Hiệp,26782,phường,10.8746,106.64,168060,8.06
Hồ Chí Minh,phường Bình Tiên,27373,phường,10.7425,106.643,91520,1.61
Hồ Chí Minh,phường Nhiêu Lộc,27142,phường,10.7855,106.676,88090,1.71
Hồ Chí Minh,phường Vĩnh Hội,27286,phường,10.7553,106.696,63015,1.17
Hồ Chí Minh,phường An Đông,27316,phường,10.7548,106.672,81229,1.32
Hồ Chí Minh,phường Tân Hưng,27475,phường,10.7372,106.705,153674,8.54
Hồ Chí Minh,phường Phú Định,27427,phường,10.7255,106.631,150389,5.85
Hồ Chí Minh,phường Bình Thới,27232,phường,10.7626,106.642,76478,1.52
Hồ Chí Minh,phường Thới An,26773,phường,10.8791,106.666,125657,14.90
Hồ Chí Minh,phường Đông Hưng Thuận,26791,phường,10.8357,106.622,182895,8.26
Hồ Chí Minh,phường Trung Mỹ Tây,26785,phường,10.8601,106.622,126470,6.93
Hồ Chí Minh,phường An Phú Đông,26767,phường,10.8625,106.693,179115,14.59
Hồ Chí Minh,phường Bình Tây,27367,phường,10.7507,106.645,63293,1.05
Hồ Chí Minh,phường Phú Lâm,27349,phường,10.7529,106.63,87513,2.00
Hồ Chí Minh,phường Minh Phụng,27238,phường,10.7559,106.648,90808,1.27
Hồ Chí Minh,phường Xóm Chiếu,27259,phường,10.7570,106.717,57875,1.94
Hồ Chí Minh,phường Chợ Lớn,27343,phường,10.7532,106.659,85066,1.67
Hồ Chí Minh,phường Khánh Hội,27265,phường,10.7589,106.704,94507,1.07
Hồ Chí Minh,phường Tân Thuận,27478,phường,10.7553,106.735,148090,10.16
Hồ Chí Minh,phường Bàn Cờ,27154,phường,10.7705,106.682,67616,0.99
Hồ Chí Minh,phường Bình Phú,27364,phường,10.7388,106.629,75925,2.86
Hồ Chí Minh,phường Bình Trị Đông,27448,phường,10.7723,106.608,165142,7.15
Hồ Chí Minh,phường Bình Quới,26911,phường,10.8220,106.742,46200,6.34
Hồ Chí Minh,phường Chợ Quán,27301,phường,10.7574,106.681,63545,1.28
Hồ Chí Minh,phường Chánh Hưng,27418,phường,10.7434,106.677,190707,4.61
Hồ Chí Minh,phường Bình Đông,27424,phường,10.7012,106.612,155555,8.93
Hồ Chí Minh,phường An Lạc,27460,phường,10.7360,106.612,172134,10.47
Hồ Chí Minh,phường Bình Lợi Trung,26905,phường,10.8273,106.706,116121,3.89
Hồ Chí Minh,phường Phú Thuận,27484,phường,10.7272,106.747,84089,10.55
Hồ Chí Minh,phường Tân Mỹ,27487,phường,10.7150,106.731,68124,6.45
Hồ Chí Minh,phường Bình Tân,27442,phường,10.8059,106.594,161851,11.25
Hồ Chí Minh,phường Bình Thạnh,26929,phường,10.8109,106.705,126300,3.32
Hồ Chí Minh,phường Bình Hưng Hòa,27439,phường,10.8027,106.605,187950,8.47
Hồ Chí Minh,phường Phú Nhuận,27073,phường,10.7943,106.673,68420,1.46
Hồ Chí Minh,phường Bảy Hiền,26983,phường,10.7922,106.649,132252,2.86
Hồ Chí Minh,phường Tân Tạo,27457,phường,10.7388,106.584,113363,14.71
Hồ Chí Minh,phường Gia Định,26944,phường,10.7983,106.699,125946,2.76
Hồ Chí Minh,phường Thông Tây Hội,26898,phường,10.8417,106.655,121192,3.24
Hồ Chí Minh,phường An Nhơn,26876,phường,10.8427,106.683,114498,3.23
Hồ Chí Minh,phường Gò Vấp,26884,phường,10.8358,106.673,110850,2.81
Hồ Chí Minh,phường An Hội Đông,26878,phường,10.8501,106.667,123681,3.29
Hồ Chí Minh,phường Hạnh Thông,26890,phường,10.8213,106.683,128865,3.37
Hồ Chí Minh,phường An Hội Tây,26882,phường,10.8389,106.638,121004,3.81
Hồ Chí Minh,phường Phú Thạnh,27028,phường,10.7728,106.627,103780,2.99
Hồ Chí Minh,phường Đức Nhuận,27043,phường,10.8055,106.677,71495,2.17
Hồ Chí Minh,phường Cầu Kiệu,27058,phường,10.7995,106.689,62663,1.23
Hồ Chí Minh,phường Tân Phú,27031,phường,10.7751,106.638,93117,2.52
Hồ Chí Minh,phường Thạnh Mỹ Tây,26956,phường,10.7981,106.718,153216,4.40
Hồ Chí Minh,xã Hưng Long,27628,xã,10.6594,106.645,71504,35.54
Hồ Chí Minh,xã Bình Chánh,27637,xã,10.6662,106.586,76187,21.33
Hồ Chí Minh,xã Bình Khánh,27667,xã,10.5788,106.887,35482,158.28
Hồ Chí Minh,xã An Thới Đông,27673,xã,10.5006,106.808,22607,257.85
Hồ Chí Minh,phường Phú Thọ Hòa,27022,phường,10.7923,106.621,140436,3.02
Hồ Chí Minh,xã Cần Giờ,27664,xã,10.4524,106.908,27130,157.01
Hồ Chí Minh,xã Nhuận Đức,27511,xã,11.0321,106.499,40239,62.06
Hồ Chí Minh,xã Thái Mỹ,27526,xã,10.9898,106.407,49862,62.44
Hồ Chí Minh,phường Tân Bình,27004,phường,10.8006,106.642,89373,2.12
Hồ Chí Minh,phường Tân Sơn Nhì,27019,phường,10.7987,106.63,117277,3.46
Hồ Chí Minh,xã Đông Thạnh,27568,xã,10.9069,106.645,190400,30.16
Hồ Chí Minh,xã Phú Hòa Đông,27541,xã,10.9495,106.598,97766,59.75
Hồ Chí Minh,xã Bình Mỹ,27544,xã,10.9470,106.635,99675,54.43
Hồ Chí Minh,xã Bà Điểm,27592,xã,10.8567,106.55,204289,27.36
Hồ Chí Minh,xã Củ Chi,27553,xã,10.9518,106.533,128661,64.88
Hồ Chí Minh,xã Bình Hưng,27619,xã,10.7067,106.66,183697,32.63
Hồ Chí Minh,phường Tân Sơn Hòa,26977,phường,10.8060,106.666,64150,2.62
Hồ Chí Minh,phường Tân Sơn,27007,phường,10.8224,106.65,77229,10.12
Hồ Chí Minh,phường Tây Thạnh,27013,phường,10.8108,106.622,72616,3.95
Hồ Chí Minh,phường Tân Sơn Nhất,26968,phường,10.8007,106.658,84639,3.19
Hồ Chí Minh,phường Tân Hòa,26995,phường,10.7809,106.655,93437,1.47
Hồ Chí Minh,xã Tân An Hội,27496,xã,10.9633,106.471,84342,53.51
Đồng Nai,phường Bình Long,25326,phường,11.6321,106.598,41048,49.10
Hồ Chí Minh,xã Hiệp Phước,27658,xã,10.6140,106.757,67754,63.33
Hồ Chí Minh,xã Vĩnh Lộc,27601,xã,10.8237,106.553,167042,30.58
Hồ Chí Minh,xã Bình Lợi,27610,xã,10.7540,106.516,47180,54.18
Đồng Nai,phường Đồng Xoài,25210,phường,11.5300,106.817,35887,81.30
Hồ Chí Minh,xã Tân Nhựt,27595,xã,10.7048,106.562,115513,43.67
Hồ Chí Minh,xã Tân Vĩnh Lộc,27604,xã,10.7912,106.551,163839,34.05
Hồ Chí Minh,xã An Nhơn Tây,27508,xã,11.1015,106.483,40896,77.70
Đồng Nai,phường Minh Hưng,25441,phường,11.4845,106.634,34123,99.70
Đồng Nai,phường Bình Phước,25195,phường,11.5209,106.899,11144,86.40
Hồ Chí Minh,xã Xuân Thới Sơn,27577,xã,10.8900,106.557,103643,35.21
Hồ Chí Minh,xã Hóc Môn,27559,xã,10.9021,106.591,93323,16.43
Đồng Nai,phường Chơn Thành,25432,phường,11.4153,106.646,415,124.40
Đồng Nai,phường An Lộc,25333,phường,11.7021,106.582,35531,88.70
Đồng Nai,phường Phước Long,25217,phường,11.8190,107.018,,718.84
Đồng Nai,xã Bù Đăng,25396,xã,11.8184,107.249,32145,156.10
Đồng Nai,xã Đồng Phú,25363,xã,11.4115,106.847,45557,138.70
Hồ Chí Minh,xã Nhà Bè,27655,xã,10.7078,106.699,125832,37.10
Đồng Nai,xã Phước Sơn,25420,xã,11.6254,107.223,31005,386.60
Đồng Nai,xã Phú Nghĩa,25267,xã,11.9338,107.018,3392,279.40
Đồng Nai,xã Tân Lợi,25378,xã,11.4329,106.991,22774,379.80
Đồng Nai,xã Thọ Sơn,25402,xã,11.8627,107.335,21457,307.70
Đồng Nai,xã Đak Nhau,25399,xã,11.9733,107.222,,182.57
Đồng Nai,xã Thuận Lợi,25387,xã,11.6055,106.867,23655,167.20
Đồng Nai,xã Nha Bích,25450,xã,11.5064,106.723,22278,137.10
Đồng Nai,xã Thiện Hưng,25308,xã,11.9688,106.798,35041,111.00
Đồng Nai,phường Phước Bình,25220,phường,11.8340,106.94,44771,72.60
Đồng Nai,xã Hưng Phước,25309,xã,12.0352,106.877,12427,187.20
Đồng Nai,xã Bom Bo,25405,xã,11.8698,107.15,27064,245.90
Đồng Nai,xã Bù Gia Mập,25222,xã,12.1358,107.168,8274,342.50
Đồng Nai,xã Nghĩa Trung,25417,xã,11.6841,107.117,32897,222.00
Đồng Nai,xã Tân Quan,25351,xã,11.6046,106.669,30385,148.30
Đồng Nai,xã Tân Tiến,25318,xã,11.9268,106.656,33994,207.20
Đồng Nai,xã Tân Hưng,25345,xã,11.6919,106.715,35222,92.41
Đồng Nai,xã Đồng Tâm,25390,xã,11.5709,107.021,35573,248.80
Đồng Nai,xã Đa Kia,25231,xã,11.9028,106.863,31752,196.30
Đồng Nai,xã Đăk Ơ,25225,xã,12.0670,107.056,,246.71
Đồng Nai,xã Minh Đức,25349,xã,11.6242,106.522,16944,167.10
Đồng Nai,xã Phú Riềng,25252,xã,11.6825,106.922,36232,117.40
Đồng Nai,xã Tân Khai,25357,xã,11.5279,106.542,3614,161.80
Đồng Nai,phường Tam Phước,26374,phường,10.8813,106.958,48313,45.10
Đồng Nai,phường Long Khánh,26080,phường,10.9217,107.288,7707,21.30
Đồng Nai,phường Tam Hiệp,26017,phường,10.9538,106.859,139441,10.80
Đồng Nai,phường Phước Tân,26377,phường,10.9137,106.946,64181,42.80
Đồng Nai,phường Trấn Biên,26041,phường,10.9380,106.835,19706,31.00
Đồng Nai,phường Hố Nai,26005,phường,10.9755,106.927,78902,22.90
Đồng Nai,phường Long Hưng,26380,phường,10.8810,106.867,74184,32.40
Đồng Nai,xã Lộc Quang,25292,xã,11.8443,106.716,26314,105.00
Đồng Nai,xã Lộc Tấn,25279,xã,11.8815,106.519,23697,183.36
Đồng Nai,phường Xuân Lập,26104,phường,10.9139,107.192,18947,29.20
Đồng Nai,xã Xuân Quế,26332,xã,10.8433,107.139,21189,92.90
Đồng Nai,phường Bảo Vinh,26098,phường,10.9683,107.278,36989,50.90
Đồng Nai,xã Lộc Hưng,25303,xã,11.7867,106.664,266,99.00
Đồng Nai,xã Lộc Thành,25294,xã,11.7661,106.494,15338,206.10
Đồng Nai,xã Lộc Ninh,25270,xã,11.8389,106.635,32213,67.40
Đồng Nai,phường Bình Lộc,26089,phường,10.9901,107.223,36195,77.20
Đồng Nai,phường Long Bình,26020,phường,10.9318,106.903,26378,40.20
Đồng Nai,xã Phú Trung,25261,xã,11.7238,107.017,13585,172.00
Đồng Nai,xã Phú Vinh,26215,xã,11.2595,107.359,31328,69.50
Đồng Nai,xã Xuân Đường,26347,xã,10.7760,107.143,26565,82.10
Đồng Nai,xã Sông Ray,26362,xã,10.7248,107.335,31346,65.60
Đồng Nai,xã Long Hà,25255,xã,11.7000,106.815,27614,168.40
Đồng Nai,phường Hàng Gòn,26113,phường,10.8786,107.217,24931,45.60
Đồng Nai,xã Định Quán,26206,xã,11.1398,107.356,85523,295.80
Đồng Nai,phường Biên Hòa,26068,phường,10.9336,106.802,74919,21.50
Đồng Nai,xã Bình Tân,25246,xã,11.8155,106.806,28642,190.90
Đồng Nai,phường Trảng Dài,25993,phường,11.2028,106.883,104972,37.30
Đồng Nai,xã Long Phước,26413,xã,10.7331,107.056,42453,81.80
Đồng Nai,xã Nhơn Trạch,26485,xã,10.7372,106.893,78589,108.00
Đồng Nai,xã Phước An,26503,xã,10.6572,106.932,51088,170.70
Đồng Nai,xã Cẩm Mỹ,26341,xã,10.8061,107.258,45728,113.10
Đồng Nai,xã Xuân Đông,26359,xã,10.8054,107.358,47623,108.00
Đồng Nai,xã Thanh Sơn,26209,xã,11.2977,107.256,33342,315.40
Đồng Nai,xã Thống Nhất,26299,xã,11.1119,107.148,71665,120.10
Đồng Nai,xã Bàu Hàm,26254,xã,11.0255,107.085,55559,97.50
Đồng Nai,xã Dầu Giây,26326,xã,10.9214,107.129,71921,98.90
Đồng Nai,xã La Ngà,26227,xã,11.1497,107.216,33311,133.50
Đồng Nai,xã Phú Hòa,26221,xã,11.2082,107.419,41306,71.80
Đồng Nai,xã Trảng Bom,26248,xã,10.9721,107.016,92712,68.80
Đồng Nai,xã Gia Kiệm,26311,xã,11.0194,107.159,79274,82.70
Đồng Nai,xã Hưng Thịnh,26281,xã,10.9246,107.065,57825,57.60
Đồng Nai,xã Trị An,26170,xã,11.2169,107.041,51028,660.50
Đồng Nai,xã Bình Minh,26278,xã,10.9689,106.97,83354,36.70
Đồng Nai,xã Phước Thái,26422,xã,10.6861,107.068,55914,85.90
Đồng Nai,xã An Phước,26383,xã,10.8061,106.927,23788,64.90
Đồng Nai,phường Tân Triều,26188,phường,11.1964,106.82,101608,63.30
Đồng Nai,xã Đại Phước,26491,xã,10.7120,106.779,55364,98.00
Đồng Nai,xã Phú Lâm,26158,xã,11.3073,107.502,33186,43.07
Đồng Nai,xã Đak Lua,26119,xã,11.4637,107.32,,415.60
Đồng Nai,xã Tân Phú,26116,xã,11.2750,107.441,3136,38.60
Đồng Nai,xã Nam Cát Tiên,26122,xã,11.3837,107.463,15922,82.90
Đồng Nai,xã Long Thành,26368,xã,10.7824,107.016,15429,51.51
Đồng Nai,xã An Viễn,26296,xã,10.9010,107.015,2415,47.70
Đồng Nai,xã Xuân Bắc,26428,xã,11.0404,107.301,44866,96.40
Đồng Nai,xã Tà Lài,26134,xã,11.3537,107.391,34158,83.30
Đồng Nai,xã Xuân Hòa,26446,xã,10.8661,107.493,78491,306.00
Đồng Nai,xã Bình An,26389,xã,10.8505,107.014,59475,73.43
Đồng Nai,xã Phú Lý,26173,xã,11.4040,107.146,15992,279.00
Đồng Nai,xã Xuân Thành,26434,xã,11.1997,107.392,22007,122.70
Đồng Nai,xã Tân An,26179,xã,11.0352,106.973,41922,40.61
Đồng Nai,xã Xuân Lộc,26425,xã,10.9379,107.387,104304,140.50
Đồng Nai,xã Xuân Phú,26458,xã,10.8865,107.345,29608,55.60
Tây Ninh,xã Bến Lức,27991,xã,10.6618,106.483,569,48.75
Tây Ninh,phường Long An,27694,phường,10.5476,106.405,106667,34.90
Tây Ninh,xã Lương Hòa,28003,xã,10.7083,106.45,2594,37.48
Tây Ninh,xã Mỹ Yên,28018,xã,10.6387,106.533,49248,29.23
Tây Ninh,xã Bình Đức,28015,xã,10.6220,106.456,3511,51.20
Tây Ninh,phường Khánh Hậu,27715,phường,10.5377,106.36,28965,22.81
Tây Ninh,xã Bình Hiệp,27793,xã,10.8318,105.958,2142,123.68
Tây Ninh,xã Cần Đước,28108,xã,10.4898,106.593,50473,48.56
Tây Ninh,xã Mỹ Lộc,28177,xã,10.5934,106.625,40199,32.71
