station_name,latitude,longitude,province,source,district
"Thanh pho Phu Ly, Ha Nam, Vietnam",13.7709675,109.2271627,,tomtom_fix,
"Bac Ninh Chau Khe, Hanoi, Ha Noi, Vietnam",21.214854,105.9315671,,tomtom_geocoding,
"Bac Ninh UBND xa Xuan Lam, Hanoi, Ha Noi, Vietnam",21.071568,105.797171,,tomtom_geocoding,
"Bac Ninh gan KCN Yen Phong, Hanoi, Ha Noi, Vietnam",21.1277395,105.8895444,,aqicn_fuzzy,
"Ban Dao Linh Dam, Hanoi, Ha Noi, Vietnam",20.971379,105.827989,,tomtom_geocoding,
"Dam Trau phuong Bach Dang, Hanoi, Ha Noi, Vietnam",21.015833,105.862734,,tomtom_geocoding,
"Ha Noi Cung thieu nhi Ha Noi Hoan Kiem, Hanoi, Ha Noi, Vietnam",21.028279,105.853881,,tomtom_geocoding,
"Ha Noi Hong Ha, Hanoi, Ha Noi, Vietnam",21.0564534,105.8427069,,tomtom_geocoding,
"Ha Noi Lang Thuong, Hanoi, Ha Noi, Vietnam",21.0206155,105.8017564,,tomtom_geocoding,
"Ha Noi Mam non Van Ha Dong Anh, Hanoi, Ha Noi, Vietnam",21.191862,105.868296,,tomtom_geocoding,
"Ha Noi Man non Tu Lien quan Tay Ho, Hanoi, Ha Noi, Vietnam",21.0694483,105.8108535,,tomtom_geocoding,
"Ha Noi Nha van hoa thon Xa Cau ung Hoa, Hanoi, Ha Noi, Vietnam",20.73397,105.771326,,tomtom_geocoding,
"Ha Noi Quang truong Dong Kinh Nghaa Thuc, Hanoi, Ha Noi, Vietnam",21.031916,105.851359,,tomtom_geocoding,
"Ha Noi TT giao luu van hoa pho co Hoan Kiem, Hanoi, Ha Noi, Vietnam",21.0098922,105.8389221,,tomtom_geocoding,
"Ha Noi Truong THCS Van Yen Ha dong, Hanoi, Ha Noi, Vietnam",21.0061893,105.8057876,,tomtom_geocoding,
"Ha Noi UBND TT Lien Quan Thach That, Son Tay, Ha Noi, Vietnam",21.056293,105.5739026,,tomtom_geocoding,
"Ha Noi UBND Xa An Khanh Hoai Duc, Hanoi, Ha Noi, Vietnam",21.0060394,105.7179531,,tomtom_geocoding,
"Hanoi 36A Pham Van Dong, Hanoi, Ha Noi, Vietnam",21.0510146,105.7820305,,tomtom_geocoding,
"Hanoi Environmental Protection Department, Hanoi, Ha Noi, Vietnam",20.999105,105.699893,,tomtom_geocoding,
"Hanoi Ho Thanh Cong Management Building, Hanoi, Ha Noi, Vietnam",10.827288,106.761792,,tomtom_geocoding,
"Hanoi Hoan Kiem District Police Headquarters, Hanoi, Ha Noi, Vietnam",21.028279,105.853881,,tomtom_geocoding,
"Hanoi Kim Lien Kindergarten, Hanoi, Ha Noi, Vietnam",21.0058596,105.8352399,,tomtom_geocoding,
"Hanoi Police Headquarters P. Hang Ma, Hanoi, Ha Noi, Vietnam",21.036631,105.847818,,tomtom_geocoding,
"Hanoi US Embassy, Hanoi, Ha Noi, Vietnam",20.999105,105.699893,,tomtom_geocoding,
"Hanoi Ubnd P Hoang Van Thu Hoang Mai, Hanoi, Ha Noi, Vietnam",20.9875114,105.8601278,,tomtom_geocoding,
"Hanoi Ubnd Tay Mo, Hanoi, Ha Noi, Vietnam",21.004935,105.748395,,tomtom_geocoding,
"Hanoi, Ha Noi, Vietnam",20.999105,105.699893,,tomtom_fix,
"Hoan Kiem District, Ha Noi, Vietnam",21.028279,105.853881,,tomtom_geocoding,
